Time resolution is 1 ps
Time 5000: Valid output - 0
Time 15000: Valid output - 90
Time 25000: Valid output - 90
Time 35000: Valid output - 90
Time 45000: Valid output - 90
Time 55000: Valid output - 90
Time 65000: Valid output - 90
Time 75000: Valid output - 90
Time 85000: Valid output - 115
Time 95000: Valid output - 115
Time 105000: Valid output - 115
Time 115000: Valid output - 115
Time 125000: Valid output - 115
Time 135000: Valid output - 115
Time 145000: Valid output - 115
Time 155000: Valid output - 115
Time 165000: Valid output - 115
Time 175000: Valid output - 115
Time 185000: Valid output - 115
Time 195000: Valid output - 115
Time 205000: Valid output - 115
Time 215000: Valid output - 115
Time 225000: Valid output - 115
Time 235000: Valid output - 115
Time 245000: Valid output - 115
Time 255000: Valid output - 115
Time 265000: Valid output - 115
Time 275000: Valid output - 115
Time 285000: Valid output - 115
Time 295000: Valid output - 154
Time 305000: Valid output - 154
Time 315000: Valid output - 154
Time 325000: Valid output - 154
Time 335000: Valid output - 154
Time 345000: Valid output - 154
Time 355000: Valid output - 154
Time 365000: Valid output - 154
Time 375000: Valid output - 154
Time 385000: Valid output - 154
Time 395000: Valid output - 154
Time 405000: Valid output - 154
Time 415000: Valid output - 154
Time 425000: Valid output - 154
Time 435000: Valid output - 154
Time 445000: Valid output - 154
Time 455000: Valid output - 154
Time 465000: Valid output - 154
Time 475000: Valid output - 154
Time 485000: Valid output - 154
Time 495000: Valid output - 154
Time 505000: Valid output - 154
Time 515000: Valid output - 154
Time 525000: Valid output - 154
Time 535000: Valid output - 154
Time 545000: Valid output - 154
Time 555000: Valid output - 154
Time 565000: Valid output - 154
Time 575000: Valid output - 154
Time 585000: Valid output - 154
Time 595000: Valid output - 154
Time 605000: Valid output - 154
Time 615000: Valid output - 154
Time 625000: Valid output - 154
Time 635000: Valid output - 154
Time 645000: Valid output - 154
Time 655000: Valid output - 154
Time 665000: Valid output - 154
Time 675000: Valid output - 154
Time 685000: Valid output - 154
Time 695000: Valid output - 154
Time 705000: Valid output - 154
Time 715000: Valid output - 154
Time 725000: Valid output - 154
Time 735000: Valid output - 154
Time 745000: Valid output - 154
Time 755000: Valid output - 154
Time 765000: Valid output - 154
Time 775000: Valid output - 154
Time 785000: Valid output - 154
Time 795000: Valid output - 154
Time 805000: Valid output - 154
Time 815000: Valid output - 154
Time 825000: Valid output - 154
Time 835000: Valid output - 154
Time 845000: Valid output - 154
Time 855000: Valid output - 154
Time 865000: Valid output - 149
Time 875000: Valid output - 149
Time 885000: Valid output - 149
Time 895000: Valid output - 149
Time 905000: Valid output - 149
Time 915000: Valid output - 149
Time 925000: Valid output - 149
Time 935000: Valid output - 149
Time 945000: Valid output - 149
Time 955000: Valid output - 149
Time 965000: Valid output - 149
Time 975000: Valid output - 140
Time 985000: Valid output - 140
Time 995000: Valid output - 140
